"PassengerId","HomePlanet","CryoSleep","Cabin","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","Name","Transported"
"0001_01","Europa","no","B/0/P","TRAPPIST-1e",39,"no",0,0,0,0,0,"Maham Ofracculy","no"
"0002_01","Earth","no","F/0/S","TRAPPIST-1e",24,"no",109,9,25,549,44,"Juanna Vines","yes"
"0003_01","Europa","no","A/0/S","TRAPPIST-1e",58,"yes",43,3576,0,6715,49,"Altark Susent","no"
"0003_02","Europa","no","A/0/S","TRAPPIST-1e",33,"no",0,1283,371,3329,193,"Solam Susent","no"
"0004_01","Earth","no","F/1/S","TRAPPIST-1e",16,"no",303,70,151,565,2,"Willy Santantines","yes"
"0005_01","Earth","no","F/0/P","PSO J318.5-22",44,"no",0,483,0,291,0,"Sandie Hinetthews","yes"
"0006_01","Earth","no","F/2/S","TRAPPIST-1e",26,"no",42,1539,3,0,0,"Billex Jacostaffey","yes"
"0006_02","Earth","yes","G/0/S","TRAPPIST-1e",28,"no",0,0,0,0,NA,"Candra Jacostaffey","yes"
"0007_01","Earth","no","F/3/S","TRAPPIST-1e",35,"no",0,785,17,216,0,"Andona Beston","yes"
"0008_01","Europa","yes","B/1/P","55 Cancri e",14,"no",0,0,0,0,0,"Erraiam Flatic","yes"
"0008_02","Europa","yes","B/1/P","TRAPPIST-1e",34,"no",0,0,NA,0,0,"Altardr Flatic","yes"
"0008_03","Europa","no","B/1/P","55 Cancri e",45,"no",39,7295,589,110,124,"Wezena Flatic","yes"
"0009_01","Mars","no","F/1/P","TRAPPIST-1e",32,"no",73,0,1123,0,113,"Berers Barne","yes"
"0010_01","Earth","no","G/1/S","TRAPPIST-1e",48,"no",719,1,65,0,24,"Reney Baketton","no"
"0011_01","Earth","no","F/2/P","TRAPPIST-1e",28,"no",8,974,12,2,7,"Elle Bertsontry","yes"
"0012_01","Earth","no",NA,"TRAPPIST-1e",31,"no",32,0,876,0,0,"Justie Pooles","no"
"0014_01","Mars","no","F/3/P","55 Cancri e",27,"no",1286,122,NA,0,0,"Flats Eccle","no"
"0015_01","Earth","no","F/4/P","55 Cancri e",24,"no",0,1,0,0,637,"Carry Hughriend","no"
"0016_01","Mars","yes","F/5/P","TRAPPIST-1e",45,"no",0,0,0,0,0,"Alus Upead","yes"
"0017_01","Earth","no","G/0/P","TRAPPIST-1e",0,"no",0,0,0,0,0,"Lyde Brighttt","yes"
"0017_02","Earth","no","F/6/P","55 Cancri e",14,"no",412,0,1,0,679,"Philda Brighttt","no"
"0020_01","Earth","yes","E/0/S","TRAPPIST-1e",1,"no",0,0,0,0,0,"Almary Brantuarez","no"
"0020_02","Earth","yes","E/0/S","55 Cancri e",49,"no",0,0,0,0,0,"Glendy Brantuarez","no"
"0020_03","Earth","yes","E/0/S","55 Cancri e",29,"no",0,0,NA,0,0,"Mollen Mcfaddennon","no"
"0020_04","Earth","no","E/0/S","TRAPPIST-1e",10,"no",0,0,0,0,0,"Breney Jacostanley","yes"
"0020_05","Earth","yes","E/0/S","PSO J318.5-22",1,"no",NA,0,0,0,0,"Mael Brantuarez","no"
"0020_06","Earth","no","E/0/S","TRAPPIST-1e",7,"no",0,0,0,0,0,"Terta Mcfaddennon","no"
"0022_01","Mars","no","D/0/P","TRAPPIST-1e",21,"no",980,2,69,0,0,NA,"no"
"0024_01","Europa","yes","C/2/S","TRAPPIST-1e",62,"no",0,0,NA,0,0,"Penton Fullided","yes"
"0025_01","Earth","no","F/6/S","TRAPPIST-1e",15,"no",0,225,0,998,0,"Karard Brookenson","no"
"0026_01","Europa","no","C/0/P","55 Cancri e",34,"no",22,6073,0,1438,328,"Anyoni Unconary","no"
"0028_01","Mars","no","F/8/P","TRAPPIST-1e",43,"no",1125,0,136,48,0,"Ceros Mare","no"
"0030_01","Earth","no","G/4/S","TRAPPIST-1e",32,"no",0,850,81,437,453,"Ginia Morsentley","no"
"0031_01","Mars","no","F/9/P","TRAPPIST-1e",47,"no",214,0,1411,0,1229,"Coobix Datie","yes"
"0031_02","Mars","no","F/9/P","TRAPPIST-1e",2,"no",0,0,0,0,0,"Cinets Datie","yes"
"0031_03","Mars","no","F/9/P","TRAPPIST-1e",20,"no",NA,0,1750,990,0,"Dontch Datie","yes"
"0034_01","Europa","yes","D/1/S","55 Cancri e",28,"no",0,0,0,0,0,"Ziba Oingwhedly","yes"
"0035_01","Mars","no","D/1/P","55 Cancri e",23,"no",784,964,0,951,0,"Luse Butte","no"
